country,state,name,overall,foundation,extinct,stadium_name,stadium_size,coord_lat,coord_long,pattern,color_primary,color_secondary,color_third,color_short,color_socks,rivals
England,,Blackpool,68.5,1887,-1,Bloomfield Road,12555,53.804722,-3.048056,Patterns.solid,Colors.orange,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Bolton,67.9,1874,-1,Reebok Stadium,28723,53.580555555,-2.535555555,Patterns.solid,Colors.white,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Burton Albion,66.4,1950,-1,Pirelli Stadium,6912,52.821944,-1.626888,Patterns.solid,Colors.yellow,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Bradford,67.2,1903,-1,Valley Parade,25136,53.804222222,-1.7590222,Patterns.divided,Colors.orange,Colors.grena,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Bristol City,69.8,1897,-1,Ashton Gate Stadium,21497,51.44,-2.620278,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Bristol Rovers,64.4,1883,-1,Memorial Stadium,12300,51.4862678,-2.583142,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Burnley,77.2,1882,-1,Turf Moor,22546,53.789064,-2.230225,Patterns.sleeves,Colors.purple,Colors.lightblue,Colors.transparent,Colors.secondary,Colors.primary,['Blackburn']
England,,Bury,56.3,1885,-1,Gigg Lane,11840,53.58054789779759,-2.2947994440370856,Patterns.solid,Colors.white,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Cambridge,63.6,1912,-1,Abbey Stadium,8127,52.212175,0.15415834,Patterns.solid,Colors.orange,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
Wales,,Cardiff City,69.2,1899,-1,Cardiff City Stadium,33000,51.472778,-3.203056,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Carlisle United,69.2,1904,-1,Brunton Park Stadium,18202,54.89551666,-2.91384803,Patterns.oneVertStripe,Colors.blue,Colors.red,Colors.white,Colors.secondary,Colors.primary,[]
England,,Charlton Athletic,67.0,1905,-1,The Valley,27116,51.487489,0.035632,Patterns.solid,Colors.red,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Cheltenham,61.7,1887,-1,Whaddon Road,7066,51.90631843513614,-2.060189894433075,Patterns.sleeves,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Chesterfield,62.3,1866,-1,Proact Stadium,10400,53.25369327270783,-1.4258188167721617,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Colchester United,61.3,1937,-1,Colchester Community Stadium,10105,51.923568978046326,0.897914100076637,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Coventry,70.5,1883,-1,Coventry Building Society Arena,32609,52.44849844,-1.49621626,Patterns.solid,Colors.yellow,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Crewe Alexandra,62.1,1877,-1,The Alexandra Stadium,10153,53.087486,-2.4357888,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Derby County,69.0,1884,-1,Pride Park,33597,52.915,-1.447222222,Patterns.solid,Colors.white,Colors.grey,Colors.transparent,Colors.secondary,Colors.primary,['Nottingham Forest']
England,,Doncaster Rovers,63.1,1879,-1,Keepmoat Rovers Park,15231,53.509873,-1.1135567,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Exeter City,62.8,1914,-1,Saint James Park,8541,50.7308274,-3.52109076,Patterns.stripes2,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Fleetwood,61.5,1908,-1,Highbury Stadium,5327,53.91654334,-3.024740453,Patterns.sleeves,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Forest Green,63.5,1889,-1,The New Lawn,5140,51.698995,-2.2377947,Patterns.horStripes2,Colors.lightgreen,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Gillingham,65.4,1893,-1,KRBS Priestfield Stadium,11582,51.3843096,0.5607898,Patterns.stripes2,Colors.blue,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Grimsby,62.7,1893,-1,Blundell Park,9052,53.570176,-0.04632012,Patterns.stripes3,Colors.black,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Huddersfield Town,70.7,1908,-1,Kirklees Stadium,24500,53.65416666,-1.76833333,Patterns.stripes2,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Hull City,68.4,1904,-1,KCOM Stadium,25400,53.746111,-0.367777,Patterns.stripes2,Colors.orange,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Ipswich Town,66.5,1878,-1,Portman Road,30311,52.05506755,1.1451992,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Leyton Orient,54.2,1881,-1,Brisbane Road,9271,51.56015075942861,-0.012627871101708722,Patterns.solid,Colors.red,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Lincoln City,65.2,1884,-1,Sincil Bank,10127,53.218429,-0.54082758,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Luton Town,70.4,1885,-1,Kenilworth Road,10356,51.883688,-0.4305913,Patterns.solid,Colors.red,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Mansfield,57.3,1897,-1,Field Mill,9186,53.13816215185544,-1.2008621609931667,Patterns.sleeves,Colors.yellow,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Middlesbrough,70.8,1876,-1,Riverside Stadium,34988,54.578333,-1.2169444,Patterns.oneHorStripe,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Newcastle']
England,,Millwall,70.6,1885,-1,The New Den,20146,51.485833,-0.050833,Patterns.solid,Colors.darkblue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Milton Keynes Dons,67.9,2004,-1,Stadium MK,30500,52.009628,-0.7335208,Patterns.solid,Colors.white,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Wimbledon']
England,,Morecambe,62.4,1920,-1,Mazuma Stadium,6476,54.061514,-2.867237627,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Northampton Town,57.2,1897,-1,Sixfields Stadium,7798,52.235125650372716,-0.933656147797423,Patterns.sleeves,Colors.grena,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Norwich,73.9,1902,-1,Carrow Road,27033,52.622128,1.308653,Patterns.solid,Colors.yellow,Colors.green,Colors.transparent,Colors.secondary,Colors.primary,['Ipswich Town']
England,,Notts County,66.5,1862,-1,Meadow Lane,19841,52.9425,-1.137222,Patterns.stripes2,Colors.black,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Oldham,61.3,1895,-1,Boundary Park,10638,53.555147,-2.1284515,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Oxford,62.4,1893,-1,Oxford Stadium,30582,51.716419,-1.208067,Patterns.solid,Colors.yellow,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Peterborough,67.8,1934,-1,Weston Homes Stadium,15314,52.56483332,-0.240204256,Patterns.solid,Colors.blue,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Portsmouth,66.5,1898,-1,Fratton Park,20688,50.79638888,-1.0638888,Patterns.oneHorStripe,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Port Vale,60.7,1876,-1,Vale Park,19052,53.0501,-2.1926163,Patterns.solid,Colors.white,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Plymouth Argyle,66.4,1886,-1,Home Park,19500,50.388055555,-4.150833333,Patterns.solid,Colors.green,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Preston North End,71.0,1880,-1,Deepdale,23408,53.772222222,-2.6880555,Patterns.solid,Colors.white,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,QPR,71.5,1882,-1,Loftus Road,18439,51.50916666,-0.232222222,Patterns.horStripes2,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,"['Chelsea', 'Fulham']"
England,,Reading,70.9,1871,-1,Madejski Stadium,24250,51.4222,-0.98277,Patterns.horStripes2,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Rotherham United,67.6,1925,-1,New York Stadium,12021,53.4279,-1.362,Patterns.sleeves,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Scunthorpe United,56.2,1889,-1,Glanford Park,9088,53.58674886790222,-0.6952278083100043,Patterns.solid,Colors.grena,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Stockport County,53.7,1883,-1,Edgeley Park,13000,53.3996712585798,-2.1664210466570175,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Sheffield Wednesday,67.6,1867,-1,Estádio Hillsborough,39732,53.411388888,-1.50055,Patterns.stripes2,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Sheffield United']
England,,Sheffield United,73.2,1889,-1,Bramall Lane,39859,53.370555,-1.4709732046,Patterns.stripes2,Colors.red,Colors.white,Colors.black,Colors.secondary,Colors.primary,['Sheffield Wednesday']
England,,Shrewsbury,65.4,1886,-1,New Meadow,9875,52.6887706,-2.749098116,Patterns.stripes3,Colors.blue,Colors.yellow,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Southend United,60.6,1906,-1,Roots Hall,12392,51.54914420392709,0.7016636684436514,Patterns.solid,Colors.darkblue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Stevenage,61.4,1976,-1,Lamex Stadium,7100,51.88989912914402,-0.19366418448034653,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Stoke City,69.9,1863,-1,Bet365 Stadium,30089,52.988333333,-2.175555555,Patterns.stripes2,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Sunderland,66.9,1879,-1,Stadium of Light,49000,54.9144,-1.3882,Patterns.stripes3,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Newcastle']
Wales,,Swansea,69.3,1912,-1,Liberty Stadium,21088,51.6422,-3.9351,Patterns.solid,Colors.white,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,['Cardiff City']
England,,Tranmere Rovers,59.7,1884,-1,Prenton Park,16789,53.37379415,-3.03251662,Patterns.solid,Colors.white,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Walsall,61.2,1888,-1,Bescot Stadium,11300,52.565472133229086,-1.990329513826888,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Watford,75.2,1881,-1,Vicarage Road,21577,51.649928,-0.401606,Patterns.divided,Colors.yellow,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,['Luton Town']
England,,West Bromwich,72.2,1878,-1,The Hawthorns,26850,52.509166666,-1.963888888,Patterns.stripes3,Colors.darkblue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Wolves']
England,,Wigan Athletic,68.0,1932,-1,DW Stadium,25135,53.547778,-2.653889,Patterns.stripes2,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Wimbledon,63.2,2002,-1,Plough Lane,9215,51.431363888,-0.186669444,Patterns.solid,Colors.yellow,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,['Milton Keynes Dons']
England,,Wrexham,57.2,1872,-1,Racecourse Ground,15550,53.051972367983176,-3.0038125459115266,Patterns.sleeves,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Wycombe,65.7,1887,-1,Adams Park,10137,51.6305577,-0.8001325,Patterns.divided,Colors.lightblue,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,Yeovil Town,61.3,1895,-1,Huish Park,9665,50.950289893317795,-2.6739840594871893,Patterns.stripes3,Colors.green,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
England,,York City,60.4,1922,-1,York Community Stadium,8500,53.98449,-1.05297225,Patterns.solid,Colors.red,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Atalanta,80.3,1907,-1,Atleti Azzurri d'Italia,21300,45.708889,9.680833,Patterns.stripes2,Colors.blue,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,['Brescia']
Italy,,Bologna,74.8,1909,-1,Renato Dall'Ara,39444,44.49362,11.309719,Patterns.divided,Colors.red,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Cagliari,74.1,1920,-1,Unipol Domus,16416,39.199888888,9.137583333,Patterns.divided,Colors.red,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Cremonese,72.0,1913,-1,Estádio Giovanni Zini,16003,45.140424475662854,10.034943289585,Patterns.stripes3,Colors.red,Colors.grey,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Empoli,73.4,1920,-1,Carlo Castellanni,19847,43.726389,10.955,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Fiorentina,76.8,1926,-1,Artemio Franchi,47282,43.780822,11.282258,Patterns.oneHorStripe,Colors.purple,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Hellas Verona,75.5,1903,-1,Marcantonio Bentegodi,39371,45.435356,10.968647,Patterns.stripes3,Colors.yellow,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Inter,83.2,1908,-1,Giuseppe Meazza,80018,45.478055,9.123947,Patterns.stripes3,Colors.blue,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,"['Milan', 'Juventus']"
Italy,,Juventus,83.4,1897,-1,Allianz Stadium,41507,45.109594,7.641247,Patterns.stripes2,Colors.black,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,"['Milan', 'Inter']"
Italy,,Milan,82.5,1899,-1,Giuseppe Meazza,80018,45.4786,9.1244,Patterns.stripes3,Colors.red,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,"['Juventus', 'Inter']"
Italy,,Monza,70.7,1912,-1,Stadio Brianteo,18568,45.582778,9.308056,Patterns.oneVertStripe,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Lazio,79.6,1900,-1,Stadio Olimpico,73261,41.933872,12.454714,Patterns.solid,Colors.lightblue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Roma']
Italy,,Lecce,71.3,1908,-1,Via del Mare,36285,40.3654579445129,18.20937082941416,Patterns.stripes2,Colors.yellow,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Napoli,81.55,1926,-1,Diego Armando Maradona,54726,40.827967,14.193008,Patterns.solid,Colors.lightblue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,['Juventus']
Italy,,Roma,80.0,1900,-1,Stadio Olimpico,73261,41.9339,12.454,Patterns.solid,Colors.grena,Colors.orange,Colors.transparent,Colors.primary,Colors.primary,['Lazio']
Italy,,Salernitana,73.8,1919,-1,Arechi,38000,40.64574181157901,14.82401436498,Patterns.solid,Colors.grena,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Sampdoria,75.0,1946,-1,Luigi Ferraris,36600,44.4164,8.9524,Patterns.solid,Colors.blue,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,['Genoa']
Italy,,Sassuolo,75.7,1920,-1,MAPEI Stadium,23717,44.714722,10.649722,Patterns.stripes2,Colors.green,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Spezia,72.2,1906,-1,Alberto Picco,11466,44.102222,9.808611,Patterns.solid,Colors.white,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Torino,75.0,1906,-1,Olímpico Grande Torino,27994,45.041667,7.65,Patterns.solid,Colors.grena,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Udinese,74.5,1896,-1,Friuli,25000,46.081603,13.200136,Patterns.solid,Colors.white,Colors.black,Colors.grey,Colors.secondary,Colors.primary,[]
Italy,,AlbinoLeffe,62.5,1998,-1,Atleti Azzurri d'Italia,26562,45.709155327387286,9.68050207523022,Patterns.sleeves,Colors.lightblue,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Alessandria,63.4,1912,-1,Estádio Giuseppe Moccagatta,6000,44.920306512244046,8.616712809317104,Patterns.solid,Colors.grey,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Ancona,62.7,1905,-1,Estádio del Conero,26000,43.56434884281206,13.52628772859907,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Arezzo,57.7,1923,-1,Stadio Città di Arezzo,13128,43.451020692772346,11.894020722361574,Patterns.solid,Colors.grena,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Ascoli,73.7,1898,-1,Stadio Cino e Lillo Del Duca,20000,42.861111,13.594167,Patterns.stripes3,Colors.white,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Avellino,68.6,1912,-1,Stadio Partenio,26308,40.92713726,14.792281517,Patterns.solid,Colors.green,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Bari,73.1,1908,-1,San Nicola,58270,41.084736,16.840072,Patterns.solid,Colors.white,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Benevento,70.7,1929,-1,Municipal Stadium Ciro Vigorito,17554,41.116691,14.78177738,Patterns.stripes3,Colors.yellow,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Brescia,74.3,1911,-1,Estádio Mario Rigamonti,27592,45.570556,10.236944,Patterns.oneHorStripe,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Campobasso,56.7,1919,-1,Stadio Nuovo Romagnoli,25000,41.57010278613092,14.630775938316368,Patterns.stripes3,Colors.darkblue,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Carpi,59.2,1909,-1,Stadio Sandro Cabassi,15500,44.77559827909882,10.882038830494857,Patterns.solid,Colors.white,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Catania,70.4,1946,-1,Angelo Massimino,26000,37.515833,15.071389,Patterns.stripes2,Colors.blue,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Cavese,50.0,1919,-1,Stadio Simonetta Lamberti,7800,0,0,Patterns.solid,Colors.lightblue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Cesena,68.2,1940,-1,Dino Manuzzi,23860,44.140556,12.261944,Patterns.solid,Colors.white,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Cittadella,66.7,1973,-1,Pier Cesare Tombolato,7623,45.64293,11.7809924,Patterns.solid,Colors.grena,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Chievo,65.8,1929,-1,Estádio Marcantonio Bentegodi,39371,45.435356,10.968647,Patterns.solid,Colors.yellow,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Como,70.0,1907,-1,Giuseppe Sinigaglia,13602,45.8142475,9.07235,Patterns.solid,Colors.blue,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Cosenza,69.8,1929,-1,Stadio San Vito-Gigi Marulla,24209,39.31004544,16.23091,Patterns.stripes3,Colors.blue,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Crotone,67.7,1923,-1,Ezio Scida,16547,39.079167,17.116667,Patterns.stripes2,Colors.red,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Fanfulla,50.0,1908,-1,Stadio Dossenina,2184,0,0,Patterns.stripes2,Colors.black,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Feralpisalò,58.8,2009,-1,Stadio Lino Turina,2364,0,0,Patterns.solid,Colors.blue,Colors.green,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Foggia,71.2,1920,-1,Pino Zaccheria,25085,41.45503127,15.542573,Patterns.stripes2,Colors.red,Colors.black,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Frosinone,72.2,1906,-1,Benito Stirpe,16227,41.6349811,13.32167292,Patterns.solid,Colors.yellow,Colors.blue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Genoa,73.3,1893,-1,Luigi Ferraris,36600,44.416431,8.952428,Patterns.divided,Colors.red,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,['Sampdoria']
Italy,,Grosseto,55.8,1912,-1,Stadio Carlo Zecchini,10200,0,0,Patterns.solid,Colors.red,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Juve Stabia,50.0,1907,-1,Stadio Romeo Menti,12800,0,0,Patterns.solid,Colors.yellow,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Latina,58.9,1945,-1,Domenico Francioni,8000,0,0,Patterns.stripes3,Colors.black,Colors.darkblue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Lecco,60.3,1912,-1,Estádio Rigamonti-Ceppi,5000,45.85779980031857,9.398680434738694,Patterns.solid,Colors.darkblue,Colors.lightblue,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Legnano,51.7,1913,-1,Stadio Giovanni Mari,5000,0,0,Patterns.solid,Colors.pink,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Livorno,66.3,1915,-1,Stadio Armando Picchi,20000,43.52680444,10.3144784728,Patterns.solid,Colors.grena,Colors.white,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Lucchese,59.2,1905,-1,Porta Elisa,7400,43.84783205328745,10.517264782575404,Patterns.stripes2,Colors.black,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Mantova,56.2,1911,-1,Estádio Danilo Martelli,7100,45.14639428457202,10.794154597966143,Patterns.diagonal,Colors.white,Colors.red,Colors.transparent,Colors.secondary,Colors.primary,[]
Italy,,Marzotto,50.0,0,-1,,0,0,0,Patterns.solid,Colors.neutral1,Colors.neutral2,Colors.transparent,Colors.secondary,Colors.primary,[]
